,Date,Status,X,Y,Z,Source,Time,SessionTime
11516,2022-03-20 14:51:00.801,OnTrack,-353,1877,-158,pos,0 days 00:50:00.784000,0 days 00:50:00.784000
11517,2022-03-20 14:51:01.161,OnTrack,-353,1877,-158,pos,0 days 00:50:01.144000,0 days 00:50:01.144000
11518,2022-03-20 14:51:01.400,OnTrack,-353,1877,-158,pos,0 days 00:50:01.383000,0 days 00:50:01.383000
11519,2022-03-20 14:51:01.620,OnTrack,-353,1877,-158,pos,0 days 00:50:01.603000,0 days 00:50:01.603000
11520,2022-03-20 14:51:01.940,OnTrack,-353,1877,-158,pos,0 days 00:50:01.923000,0 days 00:50:01.923000
11521,2022-03-20 14:51:02.260,OnTrack,-353,1877,-158,pos,0 days 00:50:02.243000,0 days 00:50:02.243000
11522,2022-03-20 14:51:02.460,OnTrack,-353,1877,-158,pos,0 days 00:50:02.443000,0 days 00:50:02.443000
11523,2022-03-20 14:51:02.740,OnTrack,-353,1877,-158,pos,0 days 00:50:02.723000,0 days 00:50:02.723000
11524,2022-03-20 14:51:03.041,OnTrack,-353,1877,-158,pos,0 days 00:50:03.024000,0 days 00:50:03.024000
11525,2022-03-20 14:51:03.301,OnTrack,-353,1877,-158,pos,0 days 00:50:03.284000,0 days 00:50:03.284000
11526,2022-03-20 14:51:03.541,OnTrack,-353,1877,-158,pos,0 days 00:50:03.524000,0 days 00:50:03.524000
11527,2022-03-20 14:51:03.741,OnTrack,-353,1877,-158,pos,0 days 00:50:03.724000,0 days 00:50:03.724000
11528,2022-03-20 14:51:04.101,OnTrack,-353,1877,-158,pos,0 days 00:50:04.084000,0 days 00:50:04.084000
11529,2022-03-20 14:51:04.281,OnTrack,-353,1877,-158,pos,0 days 00:50:04.264000,0 days 00:50:04.264000
11530,2022-03-20 14:51:04.501,OnTrack,-353,1877,-158,pos,0 days 00:50:04.484000,0 days 00:50:04.484000
11531,2022-03-20 14:51:04.761,OnTrack,-353,1877,-158,pos,0 days 00:50:04.744000,0 days 00:50:04.744000
11532,2022-03-20 14:51:05.161,OnTrack,-353,1877,-158,pos,0 days 00:50:05.144000,0 days 00:50:05.144000
11533,2022-03-20 14:51:05.421,OnTrack,-353,1877,-158,pos,0 days 00:50:05.404000,0 days 00:50:05.404000
11534,2022-03-20 14:51:05.761,OnTrack,-353,1877,-158,pos,0 days 00:50:05.744000,0 days 00:50:05.744000
11535,2022-03-20 14:51:05.961,OnTrack,-353,1877,-158,pos,0 days 00:50:05.944000,0 days 00:50:05.944000
11536,2022-03-20 14:51:06.141,OnTrack,-353,1877,-158,pos,0 days 00:50:06.124000,0 days 00:50:06.124000
11537,2022-03-20 14:51:06.461,OnTrack,-353,1877,-158,pos,0 days 00:50:06.444000,0 days 00:50:06.444000
11538,2022-03-20 14:51:06.781,OnTrack,-353,1877,-158,pos,0 days 00:50:06.764000,0 days 00:50:06.764000
11539,2022-03-20 14:51:07.021,OnTrack,-353,1877,-158,pos,0 days 00:50:07.004000,0 days 00:50:07.004000
11540,2022-03-20 14:51:07.221,OnTrack,-353,1877,-158,pos,0 days 00:50:07.204000,0 days 00:50:07.204000
